"Name","Runtime","End Time","Notes","Updated","Tags","avg_test_acc","avg_test_loss","test_acc_epoch","test_acc_step","test_loss_epoch","test_loss_step","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","val_acc","val_acc_epoch","val_acc_step","val_loss","val_loss_epoch","val_loss_step","x1_test_acc","x1_val_acc","x2_test_acc","x2_val_acc"
"gentle-wind-178","319","2024-03-08T03:06:26.000Z","-","2024-03-08T03:06:26.000Z","","0.7645220756530762","0.660792887210846","0.7645615935325623","0.7000000476837158","0.660729706287384","0.7638224363327026","0.7768750190734863","0.7692307829856873","0.6268637776374817","0.5438889861106873","0.7749007344245911","0.7749156951904297","0.7586206793785095","0.6207298636436462","0.6205849647521973","0.7782529592514038","0.7455548644065857","0.754369854927063","0.721030056476593","0.7405703663825989"
"deft-dragon-179","319","2024-03-08T03:06:26.000Z","-","2024-03-08T03:06:26.000Z","","0.7690973281860352","0.6482452154159546","0.7691600322723389","0.6666666865348816","0.6480925679206848","0.8973714113235474","0.7764917612075806","0.8461538553237915","0.625275194644928","0.30941537022590637","0.7709496021270752","0.7709291577339172","0.7931034564971924","0.6421484351158142","0.6422969102859497","0.4807928800582886","0.749233603477478","0.754983127117157","0.726854681968689","0.7283042073249817"
"quiet-deluge-171","310","2024-03-08T03:06:17.000Z","-","2024-03-08T03:06:17.000Z","","0.7608047723770142","0.6753149628639221","0.7608829140663147","0.6333333849906921","0.6751123666763306","1.0059000253677368","0.7761085629463196","0.692307710647583","0.6247778534889221","0.7159141898155212","0.7744992971420288","0.7746090292930603","0.6551724076271057","0.6305658221244812","0.630343496799469","0.872314453125","0.7250153422355652","0.7552897930145264","0.725321888923645","0.7344372868537903"
"confused-river-170","310","2024-03-08T03:06:17.000Z","-","2024-03-08T03:06:17.000Z","","0.7860089540481567","0.6233675479888916","0.7860208749771118","0.7666667103767395","0.6234212517738342","0.5357595086097717","0.7731192111968994","0.7692307829856873","0.6302151083946228","0.5772799253463745","0.7766755223274231","0.7767555713653564","0.6896551847457886","0.632308304309845","0.6321368217468262","0.8188686966896057","0.7725322246551514","0.7629561424255371","0.7329859137535095","0.7381171584129333"
"mild-sun-175","319","2024-03-08T03:06:26.000Z","-","2024-03-08T03:06:26.000Z","","0.7704249024391174","0.6492287516593933","0.770386278629303","0.8333333730697632","0.6492727398872375","0.577282726764679","0.7757636308670044","0.7692307829856873","0.6279782056808472","0.4320397078990936","0.7721116542816162","0.77215576171875","0.7241379022598267","0.6300508975982666","0.6299587488174438","0.7301551699638367","0.7513795495033264","0.7467034459114075","0.7179644703865051","0.7279975414276123"
"laced-surf-176","320","2024-03-08T03:06:27.000Z","-","2024-03-08T03:06:27.000Z","","0.7774510383605957","0.6240423917770386","0.777437150478363","0.8000000715255737","0.6240974068641663","0.534381091594696","0.7766450643539429","0.7692307829856873","0.6257303953170776","1.0795334577560425","0.7590644359588623","0.7589696645736694","0.8620689511299133","0.6509261727333069","0.6511953473091125","0.3584657907485962","0.7602697610855103","0.7482367157936096","0.7363580465316772","0.7129715085029602"
"royal-firefly-177","319","2024-03-08T03:06:26.000Z","-","2024-03-08T03:06:26.000Z","","0.7740604281425476","0.6269428730010986","0.7740650177001953","0.7666667103767395","0.6269078850746155","0.6838907599449158","0.7763384580612183","0.9230769872665404","0.6241032481193542","0.24508197605609897","0.7706115245819092","0.7706224918365479","0.7586206793785095","0.6600192189216614","0.6600059866905212","0.6743584871292114","0.7544451355934143","0.7491567134857178","0.7317596673965454","0.7365838885307312"
"twilight-voice-171","311","2024-03-08T03:06:18.000Z","-","2024-03-08T03:06:18.000Z","","0.7893587350845337","0.6116924285888672","0.7893930077552795","0.7333333492279053","0.6116626262664795","0.6601674556732178","0.772889256477356","0.7692307829856873","0.6311700344085693","0.5751577615737915","0.7814823985099792","0.7816620469093323","0.5862069129943848","0.6371636986732483","0.6367383599281311","1.0995841026306152","0.768853485584259","0.7571297287940979","0.7437155246734619","0.7304508090019226"
"different-shape-173","321","2024-03-08T03:06:28.000Z","-","2024-03-08T03:06:28.000Z","","0.7652369737625122","0.636496901512146","0.7651747465133667","0.8666667342185974","0.6365989446640015","0.4702717959880829","0.7770666480064392","0.9230769872665404","0.6255636215209961","0.40832048654556274","0.7721750736236572","0.77215576171875","0.7931034564971924","0.6578145027160645","0.6580145359039307","0.4402718245983124","0.7443286180496216","0.7500766515731812","0.7262415885925293","0.7243176698684692"
"clear-pyramid-182","320","2024-03-08T03:06:27.000Z","-","2024-03-08T03:06:27.000Z","","0.770710825920105","0.6369625926017761","0.7706928253173828","0.8000000715255737","0.6369880437850952","0.5953450798988342","0.7752653956413269","0.692307710647583","0.6285296082496643","0.8840426206588745","0.7752705216407776","0.7752223014831543","0.8275861740112305","0.6359342932701111","0.6360567212104797","0.5027571320533752","0.7562844753265381","0.759276270866394","0.7222563028335571","0.7329040169715881"
